Date,Open,High,Low,Close,Volume
1985-10-31,110.62,116.12,106.75,115.48,640806898
1985-11-30,115.48,126.43,115.48,126.06,634786207
1985-12-31,126.06,133.18,124.72,132.29,770627586
1986-01-31,132.29,134.13,128.05,132.93,831327585
1986-02-28,132.93,141.83,132.93,140.43,801275865
1986-03-31,140.43,149.21,139.57,148.86,895137931
1986-04-30,148.86,160.95,144.83,154.91,970551725
1986-05-31,154.91,163.62,153.73,163.16,831834481
1986-06-30,163.16,163.98,156.87,162.62,886000000
1986-07-31,162.62,164.56,142.73,144.71,831393103
1986-08-31,144.71,152.55,140.18,151.7,724668965
1986-09-30,151.7,152.07,133.28,137.49,759717244
1986-10-31,137.52,145.18,137.4,144.48,742375863
1986-11-30,144.48,147.96,138.96,147.94,715437931
1986-12-31,147.94,150.85,140.95,141.4,899617242
1987-01-31,141.4,170.27,141.4,166.68,1098144830
1987-02-28,166.71,184.73,166.58,182.75,1044724136
1987-03-31,182.75,191.74,179.87,186.04,1139655173
1987-04-30,186.04,192.46,177.51,184.83,1043793104
1987-05-31,184.83,191.7,179.74,188.77,959896553
1987-06-30,188.77,193.36,184.44,189.24,1129275863
1987-07-31,189.24,197.3,186.57,196.35,1165344829
1987-08-31,196.35,212.16,194.1,209.57,1081379310
1987-09-30,209.57,210.78,196.13,205.51,1066517243
1987-10-31,205.51,214.03,126.25,150.07,1404896552
1987-11-30,150.07,154.12,133.14,137.12,861155174
1987-12-31,137.12,158.42,129.46,156.25,1015072412
1988-01-31,156.25,169.14,151.57,159.13,850082759
1988-02-29,159.13,174.05,156.1,172.64,859610347
1988-03-31,172.64,182.74,170.52,173.26,1087889654
1988-04-30,173.26,180.91,170.14,175.92,862841379
1988-05-31,175.93,180.1,166.76,173.35,850806896
1988-06-30,173.49,189.35,173.49,189.02,1067600003
1988-07-31,189.23,192.77,176.38,181.16,899872413
1988-08-31,181.15,182.19,168.85,170.99,893441379
1988-09-30,170.93,180.31,167.17,179.37,808317241
1988-10-31,179.29,180.52,172.81,174.78,860872414
1988-11-30,174.77,175.62,162.65,169.18,788224141
1988-12-31,169.13,177.86,168.74,177.41,857496556
1989-01-31,177.4,186.69,172.95,186.47,936555172
1989-02-28,186.47,192.99,183.23,183.79,871534483
1989-03-31,183.79,187.68,178.96,185.87,989403448
1989-04-30,185.87,200.49,184.45,200.47,917889654
1989-05-31,200.47,215.18,199.15,214.54,1060300000
1989-06-30,214.54,220.81,201.99,204.59,1039551723
1989-07-31,204.59,214.34,203.61,214.27,861875860
1989-08-31,214.27,222.15,211.63,222.01,1054162070
1989-09-30,222.01,227.63,219.79,226.39,904486209
1989-10-31,226.41,238.85,213.6,222.62,1089817241
1989-11-30,222.62,225.76,214.65,224.45,873168964
1989-12-31,224.45,227.85,208.68,223.84,957837933
1990-01-31,223.84,228.94,196.68,201.94,1044768965
1990-02-28,201.94,210.43,200.4,207.91,834800001
1990-03-31,207.91,220.13,206.52,213.15,995672414
1990-04-30,213.15,218.25,202.97,205.82,893603449
1990-05-31,205.82,237.93,205.82,236.15,1196058621
1990-06-30,236.15,242.85,231.76,238.46,1083686208
1990-07-31,238.46,246.82,221.36,223.38,1029262068
1990-08-31,223.38,224.62,177.05,193.62,1072868965
1990-09-30,193.62,195.88,169.32,177.05,720482759
1990-10-31,177.05,189.05,162.55,172.55,927062067
1990-11-30,172.55,193.05,170.88,192.58,820079310
1990-12-31,192.65,203.49,192.65,200.53,862103448
1991-01-31,200.53,232.68,190.9,232.43,1008400002
1991-02-28,232.43,252.85,231.27,250.12,1142400002
1991-03-31,250.12,267.93,247.79,264.9,1236279311
1991-04-30,264.9,286.05,259.35,263.65,1418613794
1991-05-31,263.65,279,256.55,279,1164731036
1991-06-30,279,281.42,249.79,254.2,977751726
1991-07-31,254.2,272.35,249.99,272.15,1068313796
1991-08-31,272.15,290.92,263.55,287.4,1129103449
1991-09-30,287.4,290.43,276.33,287.54,1109879311
1991-10-31,287.54,297.77,276.51,292.51,1403768966
1991-11-30,292.51,304.55,277.9,284.79,1275913794
1991-12-31,284.79,332.58,281.1,330.86,1252537932
1992-01-31,330.86,357.7,322.56,338.32,1932944828
1992-02-29,338.32,356.28,332.98,345.88,1455024140
1992-03-31,345.88,348.39,320.15,323.05,1395937931
1992-04-30,323.05,326.79,291.36,307.86,1360934483
1992-05-31,307.86,317.27,300.54,315.3,1074131033
1992-06-30,315.3,319.23,288.01,301.23,1237803448
1992-07-31,301.23,311.76,292.8,310.89,1238500001
1992-08-31,310.89,313.48,287.64,299.26,1063224137
1992-09-30,299.26,324.69,298.11,313.18,1276127587
1992-10-31,313.18,332.46,291.96,329.15,1456444829
1992-11-30,329.15,351.29,324.98,350.96,1518837930
1992-12-31,350.96,363.2,344.8,360.18,1706796552
1993-01-31,360.18,384.67,355.36,370.56,1788779311
1993-02-28,370.56,379.26,337.14,351.14,1715037934
1993-03-31,351.14,366.54,345.43,359.42,1765224139
1993-04-30,359.42,360.74,326.56,339.95,1685172414
1993-05-31,339.95,376.53,339.95,368.11,1760848274
1993-06-30,368.11,374.92,352.76,366.12,1852175863
1993-07-31,366.12,366.52,346.52,352.86,1790103450
1993-08-31,352.86,379.64,352.86,372.65,1969675862
1993-09-30,372.65,388.33,358.02,382.71,1991958620
1993-10-31,382.71,396.2,375.64,390.98,2310617242
1993-11-30,390.98,396.88,371.83,386.76,2154096552
1993-12-31,386.76,401.81,381.84,398.28,2146596554
1994-01-31,398.26,415.42,392.05,413.99,1152300001
1994-02-28,413.99,413.99,392.33,412.17,1033441380
1994-03-31,412.17,418.99,372.32,382.96,1262410346
1994-04-30,382.96,391.94,352.12,373.25,969548276
1994-05-31,373.25,381.31,353.43,378.85,990201726
1994-06-30,378.85,385.16,350.03,360.3,1037267242
1994-07-31,360.3,373.43,352.74,370.16,919975861
1994-08-31,370.16,402.87,363.81,397.9,1154470691
1994-09-30,397.9,407.1,386.11,393.85,1028381034
1994-10-31,393.85,416.09,376.8,413.05,1142343105
1994-11-30,413.05,417.55,390.89,404.82,1066917241
1994-12-31,404.82,406.53,379.96,404.27,1063746552
1995-01-31,404.27,419.98,394.59,405.33,1108574141
1995-02-28,405.33,435.2,405.33,432.5,1070010345
1995-03-31,432.5,462.99,429.05,447.15,1310637931
1995-04-30,447.15,470.49,438.38,469.56,1191500000
1995-05-31,469.56,509.24,463.38,488.1,1402370690
1995-06-30,488.1,546.57,486.07,538.03,1516403451
1995-07-31,538.03,600.01,530.4,568.88,1561403450
1995-08-31,568.88,601.65,541.64,576.77,1703953449
1995-09-30,576.77,613.78,557.26,585.08,1548886207
1995-10-31,585.08,613,527.89,598.78,1665601722
1995-11-30,598.78,623.53,562.5,593.72,1645570688
1995-12-31,593.72,604.13,540.97,576.23,1719396553
1996-01-31,576.23,591.84,526.8,591.82,1954518966
1996-02-29,591.82,647.34,589.01,622.83,1843177586
1996-03-31,622.83,637.92,585.33,609.69,1836008621
1996-04-30,609.69,669.74,597.42,666.73,2060643104
1996-05-31,666.73,700.65,646.02,692.39,2508724137
1996-06-30,692.39,704.09,648.93,677.3,1979155174
1996-07-31,677.4,687.95,572.79,636.01,2035848276
1996-08-31,636.01,685.15,635.36,663.57,1671801723
1996-09-30,663.57,757.83,650.48,737.57,1835687932
1996-10-31,737.58,794.08,727.14,751.99,2162731034
1996-11-30,751.99,836.15,748.97,834.01,1891996550
1996-12-31,834.01,873,798.13,821.36,2043605170
1997-01-31,821.36,938.11,806.17,921.55,2426620691
1997-02-28,921.55,928.31,835.87,850.46,2075482759
1997-03-31,850.46,874.28,784.54,797.06,2040381035
1997-04-30,797.06,877.95,779.17,874.74,2146965516
1997-05-31,874.74,988.4,852.1,958.85,2225101724
1997-06-30,958.85,993.16,915.96,957.3,2169125861
1997-07-31,957.3,1110.27,947.78,1107.03,2470960345
1997-08-31,1107.03,1151.82,1060.88,1074.05,2313868966
1997-09-30,1074.17,1139.7,1074.17,1097.16,2531060343
1997-10-31,1097.17,1153.89,925.92,1019.62,3250170690
1997-11-30,1019.62,1073.97,971.61,1050.51,2015110347
1997-12-31,1050.51,1085.35,937.22,990.83,2573553449
1998-01-31,990.8,1082.08,933.01,1071.13,2368634483
1998-02-28,1071.13,1213.09,1071.13,1194.13,2511058621
1998-03-31,1194.13,1230.92,1123.86,1220.66,2926448278
1998-04-30,1220.66,1310.1,1172.87,1248.12,2981462069
1998-05-31,1248.12,1280.28,1180.23,1192.07,2478925863
1998-06-30,1192.07,1347.44,1157.88,1337.34,2741260346
1998-07-31,1337.34,1485.97,1326.07,1377.26,3034043101
1998-08-31,1377.26,1421.4,1140.03,1140.34,2709681033
1998-09-30,1140.34,1413.16,1118.12,1345.48,2738629310
1998-10-31,1345.48,1414.6,1063.27,1400.52,3344460345
1998-11-30,1400.52,1634.4,1395.53,1557.96,3051320688
1998-12-31,1557.96,1848.36,1535.18,1836.01,3288908620
1999-01-31,1836.01,2128.19,1833.43,2127.19,3538975861
1999-02-28,2127.19,2150.83,1864.9,1925.28,3006767243
1999-03-31,1925.97,2168.69,1870.37,2106.39,3654537932
1999-04-30,2106.39,2283.55,1952.36,2136.39,4039034482
1999-05-31,2136.39,2239.86,1960.55,2089.55,3192998276
1999-06-30,2089.7,2320.43,1987.4,2296.77,3380687932
1999-07-31,2296.77,2468.42,2233.15,2270.93,3606148277
1999-08-31,2270.93,2467.46,2120.26,2396.87,3490812067
