Date,Open,High,Low,Close,Volume
1997-05-31,1.97,1.98,1.31,1.5,92180400
1997-06-30,1.51,1.71,1.38,1.54,53163600
1997-07-31,1.54,2.57,1.51,2.4,108614400
1997-08-31,2.34,2.42,1.94,2.34,31906800
1997-09-30,2.34,4.81,2.31,4.34,107862000
1997-10-31,4.44,5.5,3.52,5.08,105187200
1997-11-30,5.22,5.22,3.67,4.12,67797600
1997-12-31,4.24,5.04,4.14,5.02,64982400
1998-01-31,5,5.34,4.15,4.92,112080000
1998-02-28,4.95,6.64,4.77,6.42,130621200
1998-03-31,6.32,7.35,5.83,7.13,206818800
1998-04-30,7.1,8.33,6.43,7.65,354868800
1998-05-31,7.73,7.99,6.65,7.34,174870000
1998-06-30,7.33,17.46,6.88,16.62,583878600
1998-07-31,16.97,24.5,15.71,18.48,663946800
1998-08-31,18.29,22.92,13.85,13.96,440607600
1998-09-30,12.69,20,10.83,18.6,677835600
1998-10-31,18,21.64,13.33,21.07,504444600
1998-11-30,21.35,38.85,20.12,32,651789600
1998-12-31,30.92,60.31,30.33,53.54,724218000
1999-01-31,54.61,99.56,46.28,58.47,646348800
1999-02-28,58.88,65,42.12,64.06,318146000
1999-03-31,63.5,89,57,86.09,331010000
1999-04-30,89.69,110.62,75.5,86.03,363285400
1999-05-31,83.44,83.53,52.25,59.38,303767800
1999-06-30,55.75,64.75,44.88,62.56,364747400
1999-07-31,62.62,71.25,48.75,50.03,388650400
1999-08-31,49.19,67.78,41,62.19,459085800
1999-09-30,63.5,85,57.38,79.94,321616800
1999-10-31,77,90,65.88,70.62,254311500
1999-11-30,68.06,96.88,61,85.06,265831500
1999-12-31,87.25,113,76,76.12,236342600
2000-01-31,81.5,91.5,58.44,64.56,262209000
2000-02-29,67.5,85.94,63.06,68.88,207457700
2000-03-31,67.62,75.25,60,67,156584600
2000-04-30,65.44,68.62,40.81,55.19,162012500
2000-05-31,56,62.38,40.44,48.31,130688600
2000-06-30,48.88,58.12,32.47,36.31,203140900
2000-07-31,36.69,43.94,27.88,30.12,198524600
2000-08-31,30.62,43.97,29.31,41.5,144464700
2000-09-30,42.12,49.62,35.5,38.44,133739700
2000-10-31,38.19,38.44,19.38,36.62,246733500
2000-11-30,35.81,40.88,22.12,24.69,159338900
2000-12-31,24.94,27.62,14.88,15.56,202112900
2001-01-31,15.81,22.38,13.56,17.31,210486800
2001-02-28,17.19,17.19,9.94,10.19,167374100
2001-03-31,9.88,14,9.56,10.23,167635900
2001-04-30,10.33,18.16,8.1,15.78,189780400
2001-05-31,15.9,17.6,13.1,16.69,144686700
2001-06-30,17.22,17.92,11.2,14.15,136695900
2001-07-31,14.1,17.42,11.07,12.49,172078700
2001-08-31,12.73,12.86,8.55,8.94,100687300
2001-09-30,8.95,9.19,5.67,5.97,126843400
2001-10-31,5.91,9.99,5.51,6.98,169882800
2001-11-30,7.08,12.4,6.6,11.32,310965300
2001-12-31,11.02,12.8,9.51,10.82,212455500
2002-01-31,10.93,15.77,9.03,14.19,322739200
2002-02-28,14.07,14.75,11.06,14.1,163988900
2002-03-31,14.13,16.96,13.55,14.3,164817800
2002-04-30,14.28,17.05,12.52,16.69,158958600
2002-05-31,16.55,20.4,15.75,18.23,154840500
2002-06-30,18.31,19.16,14.68,16.25,142617800
2002-07-31,16.17,17.16,12.26,14.45,176592200
2002-08-31,14.31,15.99,12.78,14.94,103359800
2002-09-30,14.71,17.93,14.24,15.93,143064500
2002-10-31,16.23,20.26,16.01,19.36,203538600
2002-11-30,19.22,24.5,18.2,23.35,206336300
2002-12-31,24.15,25,18.43,18.89,155610600
2003-01-31,19.19,23.28,18.55,21.85,169197200
2003-02-28,21.94,22.5,19.61,22.01,115941900
2003-03-31,22.15,28.04,21.36,26.03,164093600
2003-04-30,25.55,29.19,24.13,28.69,221742188
2003-05-31,28.68,36.09,28.15,35.89,191294500
2003-06-30,36.5,37.24,32.83,36.32,171709335
2003-07-31,36.49,43.1,34,41.64,229241601
2003-08-31,41.41,46.95,38.29,46.32,150923726
2003-09-30,46.52,51.3,44.73,48.43,202952440
2003-10-31,48.37,61.14,47.51,54.43,288584361
2003-11-30,54.8,57.49,47.67,53.97,182143913
2003-12-31,54.4,54.94,47,52.62,193802881
2004-01-31,52.76,57.82,48.6,50.4,217985048
2004-02-29,50.56,50.65,42.23,43.01,186361900
2004-03-31,42.88,45.06,39.15,43.28,154378979
2004-04-30,43.44,49.1,43.3,43.6,162151263
2004-05-31,43.45,48.68,40.55,48.5,150217025
2004-06-30,47.88,54.7,47.7,54.4,161296615
2004-07-31,53.78,54.04,37.38,38.92,202550061
2004-08-31,38.44,40.83,34.85,38.14,180046521
2004-09-30,38.23,44.28,37.36,40.86,176283516
2004-10-31,41.24,42.7,33,34.13,208955478
2004-11-30,34.23,41.5,34.15,39.68,168730925
2004-12-31,40,45.68,37.99,44.29,176322858
2005-01-31,45,45.44,40.26,43.22,195298551
2005-02-28,43,43.59,33.2,35.18,220205634
2005-03-31,35,36.5,32.82,34.27,119855556
2005-04-30,34.49,35.34,30.6,32.36,165551208
2005-05-31,32.33,36.04,32.1,35.51,117183443
2005-06-30,35.44,36.99,32.93,33.09,106490704
2005-07-31,33.16,45.81,32.79,45.15,183491970
2005-08-31,44.81,46.97,41.91,42.7,115407068
2005-09-30,42.52,45.84,40.5,45.3,103728498
2005-10-31,45.33,47,38.72,39.86,147536777
2005-11-30,39.97,49.43,39.65,48.46,216013954
2005-12-31,48.88,50,47.14,47.15,120544472
2006-01-31,47.5,48.58,43.1,44.82,123334658
2006-02-28,43.91,44.69,37.05,37.44,165232282
2006-03-31,37.43,37.83,35.13,36.53,121813942
2006-04-30,36.56,38.84,35.01,35.21,106472806
2006-05-31,35.06,36.5,31.52,34.61,146220234
2006-06-30,34.57,38.84,32.42,38.68,114889212
2006-07-31,38.55,38.62,25.96,26.89,228158929
2006-08-31,26.5,30.99,25.76,30.83,159147070
2006-09-30,30.85,32.81,29.68,32.12,145987824
2006-10-31,31.94,38.59,30.58,38.09,209017576
2006-11-30,38.17,43.25,36.87,40.34,146458746
2006-12-31,40.35,40.64,37.7,39.46,121031892
2007-01-31,38.55,39.14,36.3,37.67,130324726
2007-02-28,37.86,42,36.68,39.14,157084449
2007-03-31,38.3,40.24,37.04,39.79,142198494
2007-04-30,39.79,63.84,39.55,61.33,346260628
2007-05-31,61.12,73.31,59.7,69.14,330328371
2007-06-30,69,74.72,66.71,68.41,238705087
2007-07-31,68.81,89,68.01,78.54,263854553
2007-08-31,78.1,80.8,70.05,79.91,175303827
2007-09-30,79.91,94.26,79.73,93.15,122070376
2007-10-31,93.52,101.09,83.27,89.15,230478781
2007-11-30,87.75,91.47,76.5,90.56,179269246
2007-12-31,90,95.94,83.86,92.64,126918347
2008-01-31,95.38,97.43,68.84,77.7,286370965
2008-02-29,79.04,79.4,63.97,64.47,210941718
2008-03-31,63.63,76.93,61.2,71.3,192692885
2008-04-30,72.99,82.64,70.65,78.63,197777234
2008-05-31,78.4,84.75,71.56,81.62,148852834
2008-06-30,81.54,84.88,72.62,73.33,152843631
2008-07-31,72.21,82.38,62.99,76.34,214805483
2008-08-31,76.36,91.75,74.05,80.81,149021148
2008-09-30,83.16,86.77,61.32,72.76,192429818
2008-10-31,71.54,71.99,43.31,57.24,331693296
2008-11-30,56.39,58.73,34.68,42.7,228199791
2008-12-31,42,54.85,38.82,51.28,206177282
2009-01-31,51.1,59.74,47.63,58.82,203712114
2009-02-28,58.51,67.36,58.13,64.79,186761272
2009-03-31,63.94,75.61,59.82,73.44,227648055
2009-04-30,72.73,86.68,71.71,80.52,184637266
2009-05-31,80.15,83.6,73.1,77.99,137589212
2009-06-30,78.22,88.56,76.25,83.66,152061135
2009-07-31,84.42,94.4,75.41,85.76,174820748
2009-08-31,87.15,88.2,80.25,81.19,112471509
2009-09-30,80.77,94.5,77.51,93.36,127877440
2009-10-31,92.75,125.68,88.27,118.81,267940689
2009-11-30,118.56,136.08,116.25,135.91,160163852
2009-12-31,137.1,145.91,125.65,134.52,207142312
2010-01-31,136.28,136.61,118.12,125.41,230184487
2010-02-28,123.22,124.86,113.82,118.4,209728803
2010-03-31,118.85,138.19,117.53,135.77,157985035
2010-04-30,136.32,151.09,130.78,137.1,163197099
2010-05-31,137.42,139.44,117.52,125.46,140987828
2010-06-30,124.53,129.15,106.01,109.26,133135906
2010-07-31,108.86,124.88,105.8,117.89,174425641
2010-08-31,117.89,130.81,117.57,124.83,113325389
2010-09-30,126.35,161.78,126.17,157.06,134186520
2010-10-31,157.2,171.99,151.4,165.23,142621329
2010-11-30,164.45,181.84,156.77,175.4,130971578
2010-12-31,179.16,185.65,173.09,180,93604377
2011-01-31,181.3,191.6,166.9,169.64,113275047
2011-02-28,170.78,191.4,169.51,173.29,95745993
2011-03-31,173.55,181.57,160.59,180.13,118963060
2011-04-30,181.58,197.8,175.37,195.81,116281568
2011-05-31,196.79,206.39,190.88,196.69,106225739
2011-06-30,196.21,206.25,181.59,204.49,95453753
2011-07-31,205.16,227.2,203.61,222.52,92558137
2011-08-31,225.32,227.45,177.1,215.23,155001245
2011-09-30,215.28,244,204.47,216.23,143475456
2011-10-31,217.24,246.71,196.51,213.51,158546083
2011-11-30,208.29,222.35,181.51,192.29,136476048
2011-12-31,191.78,199.66,166.97,173.1,125431793
2012-01-31,175.89,196.5,173.5,194.44,110525951
2012-02-29,173.81,193.57,172,179.69,146014445
2012-03-31,179.93,209.85,176.58,202.51,111509868
2012-04-30,198.02,233.84,183.65,231.9,109366706
2012-05-31,229.4,232.97,207.11,212.91,92012001
2012-06-30,208.44,228.35,206.37,228.35,65353231
2012-07-31,229.3,240.74,212.61,233.3,77341362
2012-08-31,234.14,250,228.66,248.27,60193632
2012-09-30,248.27,264.11,244.66,254.32,63575759
2012-10-31,255.4,261.9,222.92,232.89,81568582
2012-11-30,234.23,252.65,218.18,252.05,67222415
2012-12-31,252.53,263.11,242.75,250.87,60882143
2013-01-31,256.04,284.72,253.26,265.5,84185718
2013-02-28,268.32,274.3,255.11,264.27,68669283
2013-03-31,263.27,277.4,252.07,266.49,58515882
2013-04-30,266.98,275.8,248.56,253.81,76908509
2013-05-31,253.9,271.91,245.75,269.2,59060786
2013-06-30,268.96,283.34,262.95,277.69,58582957
2013-07-31,279,313.62,277.16,301.22,67637385
2013-08-31,303.08,306.21,279.33,280.98,43795280
2013-09-30,284.73,320.57,284.17,312.64,43473547
2013-10-31,314.22,368.4,296.5,364.03,77281138
2013-11-30,365.14,394.1,341.88,393.62,54226823
2013-12-31,399,405.63,379.5,398.79,55711266
2014-01-31,398.8,408.06,357.76,358.69,81436577
2014-02-28,358.94,365.86,337.73,362.1,83090035
2014-03-31,358.73,383.11,330.88,336.36,75297817
2014-04-30,338.09,348.3,288,304.13,138255143
2014-05-31,304.13,314.87,284.38,312.55,78593689
2014-06-30,312.59,340.72,303.84,324.78,76603111
2014-07-31,325.86,364.85,311.86,312.99,99424315
2014-08-31,313.69,346.67,304.59,339.04,62062430
2014-09-30,339.84,349.38,317.64,322.44,68087697
2014-10-31,322.04,325.16,284,305.46,111073292
2014-11-30,306.24,341.26,292.29,338.64,68980699
2014-12-31,338.23,340.64,293.03,310.35,86857694
2015-01-31,312.58,359.5,285.25,354.53,113016061
2015-02-28,350.05,389.37,350.01,380.16,70834188
2015-03-31,380.85,388.42,365.65,372.1,55501622
2015-04-30,372.23,452.65,368.34,421.78,84396127
2015-05-31,423.82,439,414.55,429.23,51970015
2015-06-30,430.4,447.04,419.14,434.09,54985850
2015-07-31,439.35,580.57,425.57,536.15,102066584
2015-08-31,537.45,542.74,451,512.89,82909382
2015-09-30,499.14,549.78,490.5,511.89,76762897
2015-10-31,511,630.72,506,625.9,97181139
2015-11-30,627.13,682.77,620.41,664.8,87299258
2015-12-31,673.75,696.44,635.27,675.89,89111008
2016-01-31,656.29,657.715,547.18,585.61,110850115
2016-02-29,578.15,581.8,474,552.52,107762599
2016-03-31,556.29,603.24,538.58,593.64,85744959
2016-04-30,590.49,669.98,585.25,659.59,62791300
2016-05-31,663.92,724.23,656,722.79,76971070
2016-06-30,720.9,731.5,682.115,715.62,60879079
2016-07-31,717.32,766,716.54,758.81,55860407
