"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 21","4,701.2","4,618.2","4,727.2","4,594.8","-","1.81%"
"Oct 21","4,617.8","4,315.5","4,620.4","4,270.8","-","6.99%"
"Sep 21","4,316.2","4,530.8","4,549.4","4,305.2","-","-4.73%"
"Aug 21","4,530.3","4,404.8","4,544.6","4,352.5","-","2.91%"
"Jul 21","4,402.1","4,347.9","4,430.2","4,233.0","-","2.43%"
"Jun 21","4,297.5","4,216.5","4,302.4","4,164.4","-","2.22%"
"May 21","4,204.1","4,192.0","4,238.0","4,056.9","-","0.55%"
"Apr 21","4,181.2","3,992.8","4,218.8","3,992.8","-","5.24%"
"Mar 21","3,972.9","3,842.5","3,994.4","3,723.3","-","4.24%"
"Feb 21","3,811.1","3,731.2","3,950.4","3,725.6","-","2.61%"
"Jan 21","3,714.2","3,764.6","3,870.9","3,662.7","-","-1.11%"
"Dec 20","3,756.1","3,645.9","3,760.2","3,633.4","-","3.71%"
"Nov 20","3,621.6","3,296.2","3,646.0","3,279.7","-","10.75%"
"Oct 20","3,270.0","3,385.9","3,549.9","3,233.9","-","-2.77%"
"Sep 20","3,363.0","3,507.4","3,588.1","3,209.4","-","-3.92%"
"Aug 20","3,500.3","3,288.3","3,514.8","3,284.5","-","7.01%"
"Jul 20","3,271.1","3,105.9","3,280.0","3,101.2","-","5.51%"
"Jun 20","3,100.3","3,038.8","3,233.1","2,965.7","-","1.84%"
"May 20","3,044.3","2,869.1","3,068.7","2,766.6","-","4.53%"
"Apr 20","2,912.4","2,498.1","2,954.9","2,447.5","-","12.68%"
"Mar 20","2,584.6","2,974.3","3,136.7","2,191.9","-","-12.51%"
"Feb 20","2,954.2","3,235.7","3,393.5","2,855.8","-","-8.41%"
"Jan 20","3,225.5","3,244.7","3,337.8","3,214.6","-","-0.16%"
"Dec 19","3,230.8","3,143.9","3,247.9","3,070.3","-","2.86%"
"Nov 19","3,141.0","3,050.7","3,154.3","3,050.7","-","3.40%"
"Oct 19","3,037.6","2,983.7","3,050.1","2,855.9","-","2.04%"
"Sep 19","2,976.7","2,909.0","3,022.0","2,891.9","-","1.72%"
"Aug 19","2,926.5","2,980.3","3,013.6","2,822.1","-","-1.81%"
"Jul 19","2,980.4","2,971.4","3,028.0","2,952.2","-","1.31%"
"Jun 19","2,941.8","2,751.5","2,964.1","2,728.8","-","6.89%"
"May 19","2,752.1","2,952.3","2,954.1","2,750.5","-","-6.58%"
"Apr 19","2,945.8","2,848.6","2,949.5","2,848.6","-","3.93%"
"Mar 19","2,834.4","2,798.2","2,860.3","2,722.3","-","1.79%"
"Feb 19","2,784.5","2,702.3","2,813.5","2,681.8","-","2.97%"
"Jan 19","2,704.1","2,477.0","2,708.9","2,444.0","-","7.87%"
"Dec 18","2,506.9","2,790.5","2,800.2","2,346.6","-","-9.18%"
"Nov 18","2,760.2","2,717.6","2,815.1","2,631.1","-","1.79%"
"Oct 18","2,711.7","2,926.3","2,939.9","2,603.5","-","-6.94%"
"Sep 18","2,914.0","2,897.0","2,940.9","2,864.1","-","0.43%"
"Aug 18","2,901.5","2,821.2","2,916.5","2,796.3","-","3.03%"
"Jul 18","2,816.3","2,704.9","2,848.0","2,698.9","-","3.60%"
"Jun 18","2,718.4","2,718.7","2,791.5","2,692.0","-","0.48%"
"May 18","2,705.3","2,643.6","2,742.2","2,594.6","-","2.16%"
"Apr 18","2,648.1","2,633.4","2,717.5","2,553.8","-","0.27%"
"Mar 18","2,640.9","2,715.2","2,801.9","2,585.9","-","-2.69%"
"Feb 18","2,713.8","2,816.4","2,836.0","2,532.7","-","-3.89%"
"Jan 18","2,823.8","2,683.7","2,872.9","2,682.4","-","5.62%"
"Dec 17","2,673.6","2,645.1","2,695.0","2,605.5","-","0.98%"
"Nov 17","2,647.6","2,583.2","2,657.7","2,557.4","-","2.81%"
"Oct 17","2,575.3","2,521.2","2,583.0","2,520.4","-","2.22%"
"Sep 17","2,519.4","2,474.4","2,519.4","2,446.6","-","1.93%"
"Aug 17","2,471.6","2,477.1","2,490.9","2,417.4","-","0.05%"
